year.from,month.from,day.from,year.to,month.to,day.to,week.number,numdate,total.deaths,influenza.under.1.year,influenza.age.1.to.2,influenza.age.2.to.5,influenza.age.5.to.10,influenza.age.10.to.15,influenza.age.15.to.20,influenza.age.20.to.25,influenza.age.25.to.35,influenza.age.35.to.45,influenza.age.45.to.55,influenza.age.55.to.65,influenza.age.65.to.75,influenza.age.75.and.upwards,influenza.all.ages,broncho.pneumonia.under.1.year,broncho.pneumonia.age.1.to.2,broncho.pneumonia.age.2.to.5,broncho.pneumonia.age.5.to.10,broncho.pneumonia.age.10.to.15,broncho.pneumonia.age.15.to.20,broncho.pneumonia.age.20.to.25,broncho.pneumonia.age.25.to.35,broncho.pneumonia.age.35.to.45,broncho.pneumonia.age.45.to.55,broncho.pneumonia.age.55.to.65,broncho.pneumonia.age.65.to.75,broncho.pneumonia.age.75.and.upwards,broncho.pneumonia.all.ages,lobar.pneumonia.under.1.year,lobar.pneumonia.age.1.to.2,lobar.pneumonia.age.2.to.5,lobar.pneumonia.age.5.to.10,lobar.pneumonia.age.10.to.15,lobar.pneumonia.age.15.to.20,lobar.pneumonia.age.20.to.25,lobar.pneumonia.age.25.to.35,lobar.pneumonia.age.35.to.45,lobar.pneumonia.age.45.to.55,lobar.pneumonia.age.55.to.65,lobar.pneumonia.age.65.to.75,lobar.pneumonia.age.75.and.upwards,lobar.pneumonia.all.ages,pneumonia.type.not.distinguished.under.1.year,pneumonia.type.not.distinguished.age.1.to.2,pneumonia.type.not.distinguished.age.2.to.5,pneumonia.type.not.distinguished.age.5.to.10,pneumonia.type.not.distinguished.age.10.to.15,pneumonia.type.not.distinguished.age.15.to.20,pneumonia.type.not.distinguished.age.20.to.25,pneumonia.type.not.distinguished.age.25.to.35,pneumonia.type.not.distinguished.age.35.to.45,pneumonia.type.not.distinguished.age.45.to.55,pneumonia.type.not.distinguished.age.55.to.65,pneumonia.type.not.distinguished.age.65.to.75,pneumonia.type.not.distinguished.age.75.and.upwards,pneumonia.type.not.distinguished.all.ages,
1910,12,31,1911,1,7,1,1911.0192,1328,1,0,0,0,0,0,0,0,1,2,3,4,0,11,25,17,9,1,1,0,0,0,4,1,0,3,1,62,0,0,0,2,0,0,2,2,3,5,7,3,0,24,9,7,4,2,1,0,1,0,8,2,5,4,4,47,
1911,1,7,1911,1,14,2,1911.0384,1437,0,0,0,0,1,0,0,0,2,1,0,4,2,10,24,16,5,2,0,0,0,3,2,1,6,2,3,64,2,0,0,0,0,0,0,2,3,1,1,1,0,10,6,6,5,3,0,0,2,3,5,2,8,2,1,43,
1911,1,14,1911,1,21,3,1911.0575,1613,1,0,0,0,1,1,0,2,2,3,2,6,3,21,24,13,10,0,0,0,0,1,0,2,6,5,2,63,2,1,1,0,0,0,1,0,4,1,4,1,4,19,9,7,2,0,0,1,2,2,3,5,9,3,2,45,
1911,1,21,1911,1,28,4,1911.0767,1538,0,2,0,0,0,0,0,0,1,3,4,6,3,19,24,26,9,2,0,0,0,0,3,6,5,4,3,82,1,1,0,0,0,1,0,2,2,3,3,0,3,16,7,6,4,1,0,1,0,2,4,3,2,7,5,42,
1911,1,28,1911,2,4,5,1911.0959,1516,0,0,0,0,1,2,0,0,2,1,2,2,0,10,23,18,12,0,1,0,0,0,1,2,0,5,5,67,0,1,1,0,0,1,1,3,5,5,4,2,0,23,9,2,3,1,1,0,2,1,6,16,5,3,1,50,
1911,2,4,1911,2,11,6,1911.1151,1629,1,0,0,1,2,0,0,2,0,5,4,1,2,18,27,21,6,5,0,0,1,1,0,5,6,10,6,88,0,2,4,1,0,1,0,3,3,3,3,2,0,22,6,9,9,5,0,0,1,1,9,7,10,9,1,67,
1911,2,11,1911,2,18,7,1911.1342,1613,3,0,0,0,0,1,0,1,2,4,5,8,1,25,21,22,19,3,1,1,0,0,0,2,5,2,0,76,3,2,0,0,0,0,0,1,6,3,4,4,2,25,9,8,6,1,0,1,0,4,6,6,7,10,8,66,
1911,2,18,1911,2,25,8,1911.1534,1540,0,1,0,1,2,3,1,3,0,4,3,0,6,24,32,21,12,1,1,0,0,1,3,4,1,2,3,81,1,1,0,0,0,0,0,10,3,5,3,4,4,31,7,2,3,3,0,0,1,3,4,5,9,8,4,49,
1911,2,25,1911,3,4,9,1911.1726,1394,2,2,0,0,0,0,0,1,1,4,3,3,7,23,14,27,17,3,0,0,0,0,1,2,1,5,4,74,0,0,0,2,0,0,0,7,5,10,5,4,2,35,10,9,4,2,1,0,1,4,6,6,6,7,4,60,
1911,3,4,1911,3,11,10,1911.1918,1391,0,2,0,0,0,0,1,1,0,4,2,2,4,16,26,30,8,1,1,1,0,0,0,1,1,2,2,73,1,0,0,0,0,1,1,2,7,10,3,1,1,27,12,14,6,1,0,1,1,4,3,9,4,5,2,62,
